fdr,tpr,fpr,shd
0.05555555555555555,0.9444444444444444,0.000407000407000407,4
0.0,0.8888888888888888,0.0,4
0.0,0.8888888888888888,0.0,4
0.030303030303030304,0.8888888888888888,0.0002035002035002035,5
0.0,0.8333333333333334,0.0,6
0.03225806451612903,0.8333333333333334,0.0002035002035002035,7
0.13157894736842105,0.9166666666666666,0.0010175010175010174,8
0.0,0.8611111111111112,0.0,5
0.0,0.8333333333333334,0.0,6
0.0,0.8888888888888888,0.0,4
0.0,0.9166666666666666,0.0,3
0.0,0.8888888888888888,0.0,4
0.0,0.8611111111111112,0.0,5
0.03125,0.8611111111111112,0.0002035002035002035,6
0.058823529411764705,0.8888888888888888,0.000407000407000407,6
0.03333333333333333,0.8055555555555556,0.0002035002035002035,8
0.0,0.8888888888888888,0.0,4
0.0,0.7777777777777778,0.0,8
0.0,0.8333333333333334,0.0,6
0.0625,0.8333333333333334,0.000407000407000407,8
0.0,0.7777777777777778,0.0,8
0.034482758620689655,0.7777777777777778,0.0002035002035002035,9
0.0,0.8611111111111112,0.0,5
0.06060606060606061,0.8611111111111112,0.000407000407000407,7
0.0,0.8333333333333334,0.0,6
0.0,0.9166666666666666,0.0,3
0.058823529411764705,0.8888888888888888,0.000407000407000407,6
0.058823529411764705,0.8888888888888888,0.000407000407000407,6
0.03125,0.8611111111111112,0.0002035002035002035,6
0.029411764705882353,0.9166666666666666,0.0002035002035002035,4
0.0,0.8888888888888888,0.0,4
0.0,0.8611111111111112,0.0,5
0.0,0.8611111111111112,0.0,5
0.0,0.9444444444444444,0.0,2
0.03125,0.8611111111111112,0.0002035002035002035,6
0.08571428571428572,0.8888888888888888,0.0006105006105006105,7
0.09090909090909091,0.8333333333333334,0.0006105006105006105,9
0.02857142857142857,0.9444444444444444,0.0002035002035002035,3
0.0,0.8611111111111112,0.0,5
0.0,0.8333333333333334,0.0,6
0.08823529411764706,0.8611111111111112,0.0006105006105006105,8
0.06060606060606061,0.8611111111111112,0.000407000407000407,7
0.0,0.8888888888888888,0.0,4
0.0,0.9722222222222222,0.0,1
0.0,0.9444444444444444,0.0,2
0.0,0.8611111111111112,0.0,5
0.03125,0.8611111111111112,0.0002035002035002035,6
0.08823529411764706,0.8611111111111112,0.0006105006105006105,8
0.06896551724137931,0.75,0.000407000407000407,11
0.0,0.8333333333333334,0.0,6
