"p","graph","n","sim","method","FDR","FPR","TPR","SHD"
"25","random","500","29","CAM","0.956521739130435","0.0753424657534247","0.125","29"
"25","random","500","29","RFCI","1","0.102739726027397","0","23"
"25","random","500","29","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","500","30","CAM","0.857142857142857","0.0616438356164384","0.375","23"
"25","random","500","30","RFCI","1","0.089041095890411","0","21"
"25","random","500","30","LRpS-GES","1","0.0582191780821918","0","24"
"25","random","500","31","CAM","0.91304347826087","0.0719178082191781","0.25","27"
"25","random","500","31","RFCI","1","0.089041095890411","0","21"
"25","random","500","31","LRpS-GES","1","0.0856164383561644","0","32"
"25","random","500","32","CAM","0.923076923076923","0.0821917808219178","0.25","30"
"25","random","500","32","RFCI","1","0.089041095890411","0","21"
"25","random","500","32","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","33","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","500","33","RFCI","1","0.0958904109589041","0","22"
"25","random","500","33","LRpS-GES","1","0.0787671232876712","0","27"
"25","random","500","34","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","500","34","RFCI","1","0.0958904109589041","0","22"
"25","random","500","34","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","35","CAM","0.90625","0.0993150684931507","0.375","34"
"25","random","500","35","RFCI","1","0.102739726027397","0","23"
"25","random","500","35","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","36","CAM","0.826086956521739","0.0650684931506849","0.5","23"
"25","random","500","36","RFCI","1","0.102739726027397","0","23"
"25","random","500","36","LRpS-GES","0.952380952380952","0.0684931506849315","0.125","26"
"25","random","500","37","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","500","37","RFCI","1","0.102739726027397","0","23"
"25","random","500","37","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","500","38","CAM","0.782608695652174","0.0616438356164384","0.625","21"
"25","random","500","38","RFCI","1","0.089041095890411","0","21"
"25","random","500","38","LRpS-GES","1","0.0616438356164384","0","25"
"25","random","500","39","CAM","0.68","0.0582191780821918","1","17"
"25","random","500","39","RFCI","1","0.0958904109589041","0","22"
"25","random","500","39","LRpS-GES","1","0.0616438356164384","0","24"
"25","random","500","40","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","500","40","RFCI","1","0.0958904109589041","0","22"
"25","random","500","40","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","41","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","500","41","RFCI","1","0.089041095890411","0","21"
"25","random","500","41","LRpS-GES","1","0.0719178082191781","0","26"
"25","random","500","42","CAM","0.833333333333333","0.0684931506849315","0.5","24"
"25","random","500","42","RFCI","1","0.089041095890411","0","21"
"25","random","500","42","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","500","43","CAM","0.875","0.0719178082191781","0.375","26"
"25","random","500","43","RFCI","1","0.102739726027397","0","23"
"25","random","500","43","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","44","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","500","44","RFCI","1","0.089041095890411","0","21"
"25","random","500","44","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","500","45","CAM","0.9","0.0924657534246575","0.375","32"
"25","random","500","45","RFCI","1","0.102739726027397","0","23"
"25","random","500","45","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","500","46","CAM","0.88","0.0753424657534247","0.375","27"
"25","random","500","46","RFCI","1","0.0958904109589041","0","22"
"25","random","500","46","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","47","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","500","47","RFCI","1","0.102739726027397","0","23"
"25","random","500","47","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","48","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","500","48","RFCI","1","0.0958904109589041","0","22"
"25","random","500","48","LRpS-GES","1","0.0616438356164384","0","24"
"25","random","500","49","CAM","0.838709677419355","0.089041095890411","0.625","29"
"25","random","500","49","RFCI","1","0.0958904109589041","0","22"
"25","random","500","49","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","500","50","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","500","50","RFCI","1","0.0958904109589041","0","22"
"25","random","500","50","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","51","CAM","0.884615384615385","0.0787671232876712","0.375","28"
"25","random","500","51","RFCI","1","0.102739726027397","0","23"
"25","random","500","51","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","52","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","500","52","RFCI","1","0.102739726027397","0","23"
"25","random","500","52","LRpS-GES","1","0.0684931506849315","0","25"
"25","random","500","53","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","500","53","RFCI","1","0.102739726027397","0","23"
"25","random","500","53","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","54","CAM","0.933333333333333","0.0958904109589041","0.25","34"
"25","random","500","54","RFCI","1","0.102739726027397","0","23"
"25","random","500","54","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","55","CAM","0.8","0.0821917808219178","0.75","26"
"25","random","500","55","RFCI","1","0.102739726027397","0","23"
"25","random","500","55","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","56","CAM","0.88","0.0753424657534247","0.375","27"
"25","random","500","56","RFCI","1","0.102739726027397","0","23"
"25","random","500","56","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","57","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","500","57","RFCI","1","0.0958904109589041","0","22"
"25","random","500","57","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","58","CAM","0.875","0.0719178082191781","0.375","26"
"25","random","500","58","RFCI","1","0.0958904109589041","0","22"
"25","random","500","58","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","59","CAM","0.739130434782609","0.0582191780821918","0.75","19"
"25","random","500","59","RFCI","1","0.0958904109589041","0","22"
"25","random","500","59","LRpS-GES","1","0.0650684931506849","0","26"
