"p","graph","n","sim","method","FDR","FPR","TPR","SHD"
"25","random","1000","40","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","1000","41","CAM","0.806451612903226","0.0856164383561644","0.75","27"
"25","random","1000","41","RFCI","1","0.102739726027397","0","23"
"25","random","1000","41","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1000","42","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1000","42","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","42","LRpS-GES","1","0.0753424657534247","0","30"
"25","random","1000","43","CAM","0.833333333333333","0.0856164383561644","0.625","28"
"25","random","1000","43","RFCI","1","0.102739726027397","0","23"
"25","random","1000","43","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1000","44","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1000","44","RFCI","1","0.102739726027397","0","23"
"25","random","1000","44","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","1000","45","CAM","0.84375","0.0924657534246575","0.625","30"
"25","random","1000","45","RFCI","1","0.102739726027397","0","23"
"25","random","1000","45","LRpS-GES","1","0.0821917808219178","0","30"
"25","random","1000","46","CAM","0.88","0.0753424657534247","0.375","27"
"25","random","1000","46","RFCI","1","0.089041095890411","0","21"
"25","random","1000","46","LRpS-GES","1","0.0753424657534247","0","29"
"25","random","1000","47","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","1000","47","RFCI","1","0.10958904109589","0","24"
"25","random","1000","47","LRpS-GES","1","0.0787671232876712","0","31"
"25","random","1000","48","CAM","0.8","0.0684931506849315","0.625","23"
"25","random","1000","48","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","48","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","1000","49","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1000","49","RFCI","1","0.102739726027397","0","23"
"25","random","1000","49","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1000","50","CAM","0.818181818181818","0.0924657534246575","0.75","29"
"25","random","1000","50","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","50","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","1000","51","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","1000","51","RFCI","1","0.102739726027397","0","23"
"25","random","1000","51","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1000","52","CAM","0.72","0.0616438356164384","0.875","19"
"25","random","1000","52","RFCI","1","0.089041095890411","0","21"
"25","random","1000","52","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1000","53","CAM","0.878787878787879","0.0993150684931507","0.5","33"
"25","random","1000","53","RFCI","1","0.102739726027397","0","23"
"25","random","1000","53","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1000","54","CAM","0.785714285714286","0.0753424657534247","0.75","24"
"25","random","1000","54","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","54","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","1000","55","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","1000","55","RFCI","1","0.116438356164384","0","25"
"25","random","1000","55","LRpS-GES","1","0.089041095890411","0","30"
"25","random","1000","56","CAM","0.692307692307692","0.0616438356164384","1","18"
"25","random","1000","56","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","56","LRpS-GES","1","0.0719178082191781","0","26"
"25","random","1000","57","CAM","1","0.0787671232876712","0","31"
"25","random","1000","57","RFCI","1","0.102739726027397","0","23"
"25","random","1000","57","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","1000","58","CAM","0.8","0.0821917808219178","0.75","26"
"25","random","1000","58","RFCI","1","0.102739726027397","0","23"
"25","random","1000","58","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","1000","59","CAM","0.833333333333333","0.0684931506849315","0.5","24"
"25","random","1000","59","RFCI","1","0.102739726027397","0","23"
"25","random","1000","59","LRpS-GES","1","0.0787671232876712","0","28"
"25","random","1000","60","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","1000","60","RFCI","1","0.102739726027397","0","23"
"25","random","1000","60","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1000","61","CAM","0.791666666666667","0.0650684931506849","0.625","22"
"25","random","1000","61","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","61","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1000","62","CAM","0.91304347826087","0.0719178082191781","0.25","27"
"25","random","1000","62","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","62","LRpS-GES","1","0.0753424657534247","0","27"
"25","random","1000","63","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1000","63","RFCI","1","0.102739726027397","0","23"
"25","random","1000","63","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1000","64","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","1000","64","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","64","LRpS-GES","1","0.0582191780821918","0","25"
"25","random","1000","65","CAM","0.884615384615385","0.0787671232876712","0.375","28"
"25","random","1000","65","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","65","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","1000","66","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","1000","66","RFCI","1","0.102739726027397","0","23"
"25","random","1000","66","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1000","67","CAM","0.884615384615385","0.0787671232876712","0.375","28"
"25","random","1000","67","RFCI","1","0.102739726027397","0","23"
"25","random","1000","67","LRpS-GES","1","0.0821917808219178","0","31"
"25","random","1000","68","CAM","0.958333333333333","0.0787671232876712","0.125","30"
"25","random","1000","68","RFCI","1","0.10958904109589","0","24"
"25","random","1000","68","LRpS-GES","1","0.0821917808219178","0","28"
"25","random","1000","69","CAM","0.870967741935484","0.0924657534246575","0.5","31"
"25","random","1000","69","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","69","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1000","70","CAM","0.758620689655172","0.0753424657534247","0.875","23"
"25","random","1000","70","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","70","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","1000","71","CAM","0.916666666666667","0.0753424657534247","0.25","28"
"25","random","1000","71","RFCI","1","0.102739726027397","0","23"
"25","random","1000","71","LRpS-GES","1","0.0821917808219178","0","32"
"25","random","1000","72","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","1000","72","RFCI","1","0.10958904109589","0","24"
"25","random","1000","72","LRpS-GES","1","0.0993150684931507","0","33"
"25","random","1000","73","CAM","0.821428571428571","0.0787671232876712","0.625","26"
"25","random","1000","73","RFCI","1","0.102739726027397","0","23"
"25","random","1000","73","LRpS-GES","1","0.0924657534246575","0","32"
"25","random","1000","74","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","1000","74","RFCI","1","0.102739726027397","0","23"
"25","random","1000","74","LRpS-GES","1","0.089041095890411","0","31"
"25","random","1000","75","CAM","0.92","0.0787671232876712","0.25","29"
"25","random","1000","75","RFCI","1","0.10958904109589","0","24"
"25","random","1000","75","LRpS-GES","1","0.0787671232876712","0","28"
"25","random","1000","76","CAM","0.769230769230769","0.0684931506849315","0.75","22"
"25","random","1000","76","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","76","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","1000","77","CAM","0.875","0.0719178082191781","0.375","26"
"25","random","1000","77","RFCI","1","0.10958904109589","0","24"
"25","random","1000","77","LRpS-GES","1","0.0856164383561644","0","29"
"25","random","1000","78","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","1000","78","RFCI","1","0.089041095890411","0","21"
"25","random","1000","78","LRpS-GES","1","0.0787671232876712","0","28"
"25","random","1000","79","CAM","0.821428571428571","0.0787671232876712","0.625","26"
"25","random","1000","79","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","79","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1000","80","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1000","80","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","80","LRpS-GES","1","0.0821917808219178","0","29"
"25","random","1000","81","CAM","0.8","0.0684931506849315","0.625","23"
"25","random","1000","81","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","81","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1000","82","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","1000","82","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","82","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","1000","83","CAM","0.964285714285714","0.0924657534246575","0.125","34"
"25","random","1000","83","RFCI","1","0.116438356164384","0","25"
"25","random","1000","83","LRpS-GES","1","0.0958904109589041","0","32"
"25","random","1000","84","CAM","0.8125","0.089041095890411","0.75","28"
"25","random","1000","84","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","84","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","1000","85","CAM","0.90625","0.0993150684931507","0.375","34"
"25","random","1000","85","RFCI","1","0.10958904109589","0","24"
"25","random","1000","85","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1000","86","CAM","0.923076923076923","0.0821917808219178","0.25","30"
"25","random","1000","86","RFCI","1","0.102739726027397","0","23"
"25","random","1000","86","LRpS-GES","1","0.0821917808219178","0","31"
"25","random","1000","87","CAM","0.896551724137931","0.089041095890411","0.375","31"
"25","random","1000","87","RFCI","1","0.102739726027397","0","23"
"25","random","1000","87","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1000","88","CAM","0.8","0.0684931506849315","0.625","23"
"25","random","1000","88","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","88","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","1000","89","CAM","0.730769230769231","0.0650684931506849","0.875","20"
"25","random","1000","89","RFCI","1","0.089041095890411","0","21"
"25","random","1000","89","LRpS-GES","1","0.0650684931506849","0","25"
"25","random","1000","90","CAM","0.823529411764706","0.0958904109589041","0.75","30"
"25","random","1000","90","RFCI","1","0.0821917808219178","0","20"
"25","random","1000","90","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","1000","91","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","1000","91","RFCI","1","0.102739726027397","0","23"
"25","random","1000","91","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","1000","92","CAM","0.875","0.0958904109589041","0.5","32"
"25","random","1000","92","RFCI","1","0.102739726027397","0","23"
"25","random","1000","92","LRpS-GES","0.956521739130435","0.0753424657534247","0.125","28"
"25","random","1000","93","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1000","93","RFCI","1","0.089041095890411","0","21"
"25","random","1000","93","LRpS-GES","1","0.0650684931506849","0","26"
"25","random","1000","94","CAM","0.8","0.0821917808219178","0.75","26"
"25","random","1000","94","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","94","LRpS-GES","1","0.0753424657534247","0","27"
"25","random","1000","95","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","1000","95","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","95","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1000","96","CAM","0.903225806451613","0.0958904109589041","0.375","33"
"25","random","1000","96","RFCI","1","0.102739726027397","0","23"
"25","random","1000","96","LRpS-GES","1","0.0719178082191781","0","26"
"25","random","1000","97","CAM","0.833333333333333","0.0684931506849315","0.5","24"
"25","random","1000","97","RFCI","1","0.089041095890411","0","21"
"25","random","1000","97","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1000","98","CAM","0.884615384615385","0.0787671232876712","0.375","28"
"25","random","1000","98","RFCI","1","0.116438356164384","0","25"
"25","random","1000","98","LRpS-GES","1","0.0856164383561644","0","32"
"25","random","1000","99","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","1000","99","RFCI","1","0.116438356164384","0","25"
"25","random","1000","99","LRpS-GES","1","0.0753424657534247","0","29"
"25","random","1000","100","CAM","0.896551724137931","0.089041095890411","0.375","31"
"25","random","1000","100","RFCI","1","0.10958904109589","0","24"
"25","random","1000","100","LRpS-GES","1","0.0787671232876712","0","30"
"25","random","1500","1","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","1500","1","RFCI","1","0.10958904109589","0","24"
"25","random","1500","1","LRpS-GES","1","0.0958904109589041","0","35"
"25","random","1500","2","CAM","0.848484848484849","0.0958904109589041","0.625","31"
"25","random","1500","2","RFCI","1","0.102739726027397","0","23"
"25","random","1500","2","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1500","3","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1500","3","RFCI","1","0.10958904109589","0","24"
"25","random","1500","3","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","4","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","1500","4","RFCI","1","0.102739726027397","0","23"
"25","random","1500","4","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","5","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1500","5","RFCI","1","0.116438356164384","0","25"
"25","random","1500","5","LRpS-GES","1","0.089041095890411","0","31"
"25","random","1500","6","CAM","0.740740740740741","0.0684931506849315","0.875","21"
"25","random","1500","6","RFCI","1","0.102739726027397","0","23"
"25","random","1500","6","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","1500","7","CAM","0.863636363636364","0.0650684931506849","0.375","24"
"25","random","1500","7","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","7","LRpS-GES","1","0.0753424657534247","0","27"
"25","random","1500","8","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1500","8","RFCI","1","0.102739726027397","0","23"
"25","random","1500","8","LRpS-GES","1","0.0753424657534247","0","30"
"25","random","1500","9","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","1500","9","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","9","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","1500","10","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","1500","10","RFCI","1","0.10958904109589","0","24"
"25","random","1500","10","LRpS-GES","1","0.0821917808219178","0","31"
"25","random","1500","11","CAM","0.869565217391304","0.0684931506849315","0.375","25"
"25","random","1500","11","RFCI","1","0.102739726027397","0","23"
"25","random","1500","11","LRpS-GES","1","0.0821917808219178","0","32"
"25","random","1500","12","CAM","0.928571428571429","0.089041095890411","0.25","32"
"25","random","1500","12","RFCI","1","0.10958904109589","0","24"
"25","random","1500","12","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","13","CAM","0.769230769230769","0.0684931506849315","0.75","22"
"25","random","1500","13","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","13","LRpS-GES","1","0.0753424657534247","0","29"
"25","random","1500","14","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1500","14","RFCI","1","0.102739726027397","0","23"
"25","random","1500","14","LRpS-GES","1","0.0787671232876712","0","30"
"25","random","1500","15","CAM","0.962962962962963","0.089041095890411","0.125","33"
"25","random","1500","15","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","15","LRpS-GES","1","0.0821917808219178","0","30"
"25","random","1500","16","CAM","0.923076923076923","0.0821917808219178","0.25","30"
"25","random","1500","16","RFCI","1","0.116438356164384","0","25"
"25","random","1500","16","LRpS-GES","1","0.0958904109589041","0","32"
"25","random","1500","17","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1500","17","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","17","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1500","18","CAM","0.777777777777778","0.0719178082191781","0.75","23"
"25","random","1500","18","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","18","LRpS-GES","1","0.0856164383561644","0","31"
"25","random","1500","19","CAM","0.821428571428571","0.0787671232876712","0.625","26"
"25","random","1500","19","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","19","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","1500","20","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","1500","20","RFCI","1","0.102739726027397","0","23"
"25","random","1500","20","LRpS-GES","1","0.0958904109589041","0","32"
"25","random","1500","21","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","1500","21","RFCI","1","0.102739726027397","0","23"
"25","random","1500","21","LRpS-GES","1","0.0958904109589041","0","31"
"25","random","1500","22","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","1500","22","RFCI","1","0.10958904109589","0","24"
"25","random","1500","22","LRpS-GES","1","0.0856164383561644","0","32"
"25","random","1500","23","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1500","23","RFCI","1","0.10958904109589","0","24"
"25","random","1500","23","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","24","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1500","24","RFCI","1","0.0821917808219178","0","20"
"25","random","1500","24","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","1500","25","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","1500","25","RFCI","1","0.116438356164384","0","25"
"25","random","1500","25","LRpS-GES","1","0.0787671232876712","0","31"
"25","random","1500","26","CAM","0.848484848484849","0.0958904109589041","0.625","31"
"25","random","1500","26","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","26","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1500","27","CAM","0.925925925925926","0.0856164383561644","0.25","31"
"25","random","1500","27","RFCI","1","0.10958904109589","0","24"
"25","random","1500","27","LRpS-GES","1","0.0821917808219178","0","29"
"25","random","1500","28","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1500","28","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","28","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","1500","29","CAM","0.84375","0.0924657534246575","0.625","30"
"25","random","1500","29","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","29","LRpS-GES","1","0.089041095890411","0","31"
"25","random","1500","30","CAM","0.875","0.0719178082191781","0.375","26"
"25","random","1500","30","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","30","LRpS-GES","1","0.0821917808219178","0","29"
"25","random","1500","31","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","1500","31","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","31","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","1500","32","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","1500","32","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","32","LRpS-GES","1","0.0787671232876712","0","30"
"25","random","1500","33","CAM","0.923076923076923","0.0821917808219178","0.25","30"
"25","random","1500","33","RFCI","1","0.102739726027397","0","23"
"25","random","1500","33","LRpS-GES","1","0.089041095890411","0","31"
"25","random","1500","34","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1500","34","RFCI","1","0.102739726027397","0","23"
"25","random","1500","34","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1500","35","CAM","0.818181818181818","0.0616438356164384","0.5","22"
"25","random","1500","35","RFCI","1","0.102739726027397","0","23"
"25","random","1500","35","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","36","CAM","0.870967741935484","0.0924657534246575","0.5","31"
"25","random","1500","36","RFCI","1","0.10958904109589","0","24"
"25","random","1500","36","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","37","CAM","0.896551724137931","0.089041095890411","0.375","31"
"25","random","1500","37","RFCI","1","0.10958904109589","0","24"
"25","random","1500","37","LRpS-GES","1","0.0924657534246575","0","32"
"25","random","1500","38","CAM","0.875","0.0719178082191781","0.375","26"
"25","random","1500","38","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","38","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1500","39","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1500","39","RFCI","1","0.116438356164384","0","25"
"25","random","1500","39","LRpS-GES","1","0.0993150684931507","0","33"
"25","random","1500","40","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1500","40","RFCI","1","0.102739726027397","0","23"
"25","random","1500","40","LRpS-GES","1","0.0821917808219178","0","29"
"25","random","1500","41","CAM","0.958333333333333","0.0787671232876712","0.125","30"
"25","random","1500","41","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","41","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","1500","42","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","1500","42","RFCI","1","0.089041095890411","0","21"
"25","random","1500","42","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1500","43","CAM","0.88","0.0753424657534247","0.375","27"
"25","random","1500","43","RFCI","1","0.102739726027397","0","23"
"25","random","1500","43","LRpS-GES","1","0.0856164383561644","0","31"
"25","random","1500","44","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","1500","44","RFCI","1","0.102739726027397","0","23"
"25","random","1500","44","LRpS-GES","1","0.0958904109589041","0","33"
"25","random","1500","45","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","1500","45","RFCI","1","0.102739726027397","0","23"
"25","random","1500","45","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","1500","46","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1500","46","RFCI","1","0.10958904109589","0","24"
"25","random","1500","46","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","47","CAM","0.903225806451613","0.0958904109589041","0.375","33"
"25","random","1500","47","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","47","LRpS-GES","1","0.089041095890411","0","31"
"25","random","1500","48","CAM","0.777777777777778","0.0719178082191781","0.75","23"
"25","random","1500","48","RFCI","1","0.102739726027397","0","23"
"25","random","1500","48","LRpS-GES","1","0.0821917808219178","0","29"
"25","random","1500","49","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1500","49","RFCI","1","0.102739726027397","0","23"
"25","random","1500","49","LRpS-GES","1","0.089041095890411","0","31"
"25","random","1500","50","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1500","50","RFCI","1","0.116438356164384","0","25"
"25","random","1500","50","LRpS-GES","1","0.0924657534246575","0","33"
"25","random","1500","51","CAM","0.818181818181818","0.0924657534246575","0.75","29"
"25","random","1500","51","RFCI","1","0.102739726027397","0","23"
"25","random","1500","51","LRpS-GES","1","0.0856164383561644","0","32"
"25","random","1500","52","CAM","0.92","0.0787671232876712","0.25","29"
"25","random","1500","52","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","52","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1500","53","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1500","53","RFCI","1","0.102739726027397","0","23"
"25","random","1500","53","LRpS-GES","1","0.089041095890411","0","31"
"25","random","1500","54","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","1500","54","RFCI","1","0.102739726027397","0","23"
"25","random","1500","54","LRpS-GES","1","0.0787671232876712","0","28"
"25","random","1500","55","CAM","0.833333333333333","0.0856164383561644","0.625","28"
"25","random","1500","55","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","55","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","1500","56","CAM","0.96875","0.106164383561644","0.125","38"
"25","random","1500","56","RFCI","1","0.102739726027397","0","23"
"25","random","1500","56","LRpS-GES","1","0.0993150684931507","0","34"
"25","random","1500","57","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","1500","57","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","57","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","1500","58","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","1500","58","RFCI","1","0.102739726027397","0","23"
"25","random","1500","58","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1500","59","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","1500","59","RFCI","1","0.102739726027397","0","23"
"25","random","1500","59","LRpS-GES","1","0.0856164383561644","0","31"
"25","random","1500","60","CAM","0.903225806451613","0.0958904109589041","0.375","33"
"25","random","1500","60","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","60","LRpS-GES","1","0.0787671232876712","0","31"
"25","random","1500","61","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1500","61","RFCI","1","0.102739726027397","0","23"
"25","random","1500","61","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","1500","62","CAM","0.785714285714286","0.0753424657534247","0.75","24"
"25","random","1500","62","RFCI","1","0.102739726027397","0","23"
"25","random","1500","62","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","1500","63","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1500","63","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","63","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1500","64","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1500","64","RFCI","1","0.102739726027397","0","23"
"25","random","1500","64","LRpS-GES","1","0.0821917808219178","0","30"
"25","random","1500","65","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","1500","65","RFCI","1","0.102739726027397","0","23"
"25","random","1500","65","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","1500","66","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1500","66","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","66","LRpS-GES","1","0.0753424657534247","0","27"
"25","random","1500","67","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1500","67","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","67","LRpS-GES","1","0.0787671232876712","0","28"
"25","random","1500","68","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","1500","68","RFCI","1","0.10958904109589","0","24"
"25","random","1500","68","LRpS-GES","1","0.0821917808219178","0","30"
"25","random","1500","69","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1500","69","RFCI","1","0.116438356164384","0","25"
"25","random","1500","69","LRpS-GES","1","0.089041095890411","0","31"
"25","random","1500","70","CAM","0.833333333333333","0.0856164383561644","0.625","28"
"25","random","1500","70","RFCI","1","0.10958904109589","0","24"
"25","random","1500","70","LRpS-GES","1","0.0924657534246575","0","32"
"25","random","1500","71","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","1500","71","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","71","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","1500","72","CAM","0.793103448275862","0.0787671232876712","0.75","25"
"25","random","1500","72","RFCI","1","0.116438356164384","0","25"
"25","random","1500","72","LRpS-GES","1","0.0753424657534247","0","29"
"25","random","1500","73","CAM","0.8","0.0821917808219178","0.75","26"
"25","random","1500","73","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","73","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","74","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","1500","74","RFCI","1","0.102739726027397","0","23"
"25","random","1500","74","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1500","75","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1500","75","RFCI","1","0.089041095890411","0","21"
"25","random","1500","75","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","1500","76","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","1500","76","RFCI","1","0.0958904109589041","0","22"
"25","random","1500","76","LRpS-GES","1","0.0958904109589041","0","31"
"25","random","1500","77","CAM","0.88","0.0753424657534247","0.375","27"
"25","random","1500","77","RFCI","1","0.10958904109589","0","24"
"25","random","1500","77","LRpS-GES","1","0.089041095890411","0","33"
